action,action_result,distance_to_goal,experiment,gamma,loss,orientation,reward,signal1,signal2,signal3,speed,time
1,FORWARD,554.3979275600019,1,0.96,,-0.30465563483833397,0.2,1.0,0.0,1.0,3,226
-8,FORWARD,552.6437911451602,1,0.96,,-0.30050824378970425,0.2,1.0,0.0,1.0,3,227
1,FORWARD,551.2576819155303,1,0.96,,-0.34635223719514696,0.2,1.0,0.0,1.0,3,228
-1,FORWARD,549.8380467234279,1,0.96,,-0.3423310419760283,0.2,1.0,0.0,1.0,3,229
1,FORWARD,548.477663048128,1,0.96,,-0.3494146128552447,0.2,1.0,0.0,1.0,3,230
4,FORWARD,547.0837137723979,1,0.96,,-0.3454088983467807,0.2,1.0,0.0,1.0,3,231
1,FORWARD,545.5200424223681,1,0.96,,-0.3247303350035131,0.2,1.0,0.0,1.0,3,232
1,FORWARD,543.9237832912431,1,0.96,,-0.32066655116273124,0.2,1.0,0.0,1.0,3,233
1,FORWARD,542.2951370221496,1,0.96,,-0.316595296216281,0.2,1.0,0.0,1.0,3,234
1,FORWARD,540.6343092916883,1,0.96,,-0.3125163492136295,0.2,1.0,0.0,1.0,3,235
1,FORWARD,538.9415108568999,1,0.96,,-0.30842948523952635,0.2,1.0,0.0,1.0,3,236
1,FORWARD,537.2169576043033,1,0.96,,-0.304334475278122,0.2,1.0,0.0,1.0,3,237
1,FORWARD,535.4608706010915,1,0.96,,-0.300231086073466,0.2,1.0,0.0,1.0,3,238
1,FORWARD,533.6734761485721,1,0.96,,-0.2961190799862627,0.2,1.0,0.0,1.0,3,239
1,FORWARD,531.8550058379438,1,0.96,,-0.2919982148467577,0.2,1.0,0.0,1.0,3,240
1,FORWARD,530.0056966085031,1,0.96,,-0.2878682438036278,0.2,1.0,0.0,1.0,3,241
1,FORWARD,528.1257908083825,1,0.96,,-0.28372891516874316,0.2,0.0,0.0,1.0,3,242
-14,FORWARD,526.2155362579215,1,0.96,,-0.27957997225766884,0.2,1.0,0.0,1.0,3,243
1,FORWARD,524.9345792302771,1,0.96,,-0.35875448655910475,0.2,1.0,0.0,1.0,3,244
1,FORWARD,523.6203511344188,1,0.96,,-0.35484190233725343,0.2,1.0,0.0,1.0,3,245
1,FORWARD,522.2730026672294,1,0.96,,-0.35092369372481963,0.2,1.0,0.0,1.0,3,246
1,FORWARD,520.892688853604,1,0.96,,-0.3469996732916465,0.2,1.0,0.0,1.0,3,247
1,FORWARD,519.4795690753268,1,0.96,,-0.3430696505156811,0.2,1.0,0.0,1.0,3,248
4,FORWARD,518.0338071013363,1,0.96,,-0.3391334316653208,0.2,1.0,0.0,1.0,3,249
-17,FORWARD,516.4207752282426,1,0.96,,-0.3185241530118979,0.2,1.0,0.0,1.0,3,250
1,FORWARD,515.6329541742499,1,0.96,,-0.41452526590893685,0.2,1.0,0.0,1.0,3,251
1,FORWARD,514.8108909922723,1,0.96,,-0.41075530701616486,0.2,1.0,0.0,1.0,3,252
1,FORWARD,513.9546723987655,1,0.96,,-0.4069822454269236,0.2,1.0,0.0,1.0,3,253
1,FORWARD,513.0643888774149,1,0.96,,-0.4032059337998054,0.2,1.0,1.0,1.0,3,254
1,FORWARD,512.1401346910945,1,0.96,,-0.3994262230920509,0.2,1.0,1.0,1.0,3,255
1,FORWARD,511.1820078945199,1,0.96,,-0.3956429624748182,0.2,1.0,1.0,1.0,3,256
1,FORWARD,510.19011034762127,1,0.96,,-0.391855999246624,0.2,1.0,1.0,1.0,3,257
